ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
V365,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Driver injured in traffic accident,No,,
V366,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,No,,
V367,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,No,,
V369,Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,No,,
V370,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Driver injured in nontraffic accident,No,,
V371,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,No,,
V372,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,No,,
V373,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,No,,
V374,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Person injured while boarding or alighting,No,,
V375,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Driver injured in traffic accident,No,,
V376,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Passenger injured in traffic accident,No,,
V377,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,No,,
V379,Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,No,,
V380,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Driver injured in nontraffic accident,No,,
V381,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Passenger injured in nontraffic accident,No,,
V382,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,No,,
V383,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Unspecified occupant of three-wheeled motor vehicle injured in nontraffic accident,No,,
V384,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Person injured while boarding or alighting,No,,
V385,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Driver injured in traffic accident,No,,
V386,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Passenger injured in traffic accident,No,,
V387,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,No,,
V389,Occupant of three-wheeled motor vehicle injured in noncollision transport accident: Unspecified occupant of three-wheeled motor vehicle injured in traffic accident,No,,
V390,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents: Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V391,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents: Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V392,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V393,Occupant [any] of three-wheeled motor vehicle injured in unspecified nontraffic accident,No,,
V394,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents: Driver injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V395,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents: Passenger injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V396,Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V398,Occupant [any] of three-wheeled motor vehicle injured in other specified transport accidents,No,,
V399,Occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident,No,,
V400,Car occupant injured in collision with pedestrian or animal: Driver injured in nontraffic accident,No,,
V401,Car occupant injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,No,,
V402,Car occupant injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,No,,
V403,Car occupant injured in collision with pedestrian or animal: Unspecified car occupant injured in nontraffic accident,No,,
V404,Car occupant injured in collision with pedestrian or animal: Person injured while boarding or alighting,No,,
V405,Car occupant injured in collision with pedestrian or animal: Driver injured in traffic accident,No,,
V406,Car occupant injured in collision with pedestrian or animal: Passenger injured in traffic accident,No,,
V407,Car occupant injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,No,,
V409,Car occupant injured in collision with pedestrian or animal: Unspecified car occupant injured in traffic accident,No,,
V410,Car occupant injured in collision with pedal cycle: Driver injured in nontraffic accident,No,,
V411,Car occupant injured in collision with pedal cycle: Passenger injured in nontraffic accident,No,,
V412,Car occupant injured in collision with pedal cycle: Person on outside of vehicle injured in nontraffic accident,No,,
V413,Car occupant injured in collision with pedal cycle: Unspecified car occupant injured in nontraffic accident,No,,
V414,Car occupant injured in collision with pedal cycle: Person injured while boarding or alighting,No,,
V415,Car occupant injured in collision with pedal cycle: Driver injured in traffic accident,No,,
V416,Car occupant injured in collision with pedal cycle: Passenger injured in traffic accident,No,,
V417,Car occupant injured in collision with pedal cycle: Person on outside of vehicle injured in traffic accident,No,,
V419,Car occupant injured in collision with pedal cycle: Unspecified car occupant injured in traffic accident,No,,
V420,Car occupant injured in collision with two- or three-wheeled motor vehicle: Driver injured in nontraffic accident,No,,
V421,Car occupant injured in collision with two- or three-wheeled motor vehicle: Passenger injured in nontraffic accident,No,,
V422,Car occupant injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V423,Car occupant injured in collision with two- or three-wheeled motor vehicle: Unspecified car occupant injured in nontraffic accident,No,,
V424,Car occupant injured in collision with two- or three-wheeled motor vehicle: Person injured while boarding or alighting,No,,
V425,Car occupant injured in collision with two- or three-wheeled motor vehicle: Driver injured in traffic accident,No,,
V426,Car occupant injured in collision with two- or three-wheeled motor vehicle: Passenger injured in traffic accident,No,,
V427,Car occupant injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in traffic accident,No,,
V429,Car occupant injured in collision with two- or three-wheeled motor vehicle: Unspecified car occupant injured in traffic accident,No,,
V430,"Car occupant injured in collision with car, pick-up truck or van: Driver injured in nontraffic accident",No,,
V431,"Car occupant injured in collision with car, pick-up truck or van: Passenger injured in nontraffic accident",No,,
V432,"Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in nontraffic accident",No,,
V433,"Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in nontraffic accident",No,,
V434,"Car occupant injured in collision with car, pick-up truck or van: Person injured while boarding or alighting",No,,
V435,"Car occupant injured in collision with car, pick-up truck or van: Driver injured in traffic accident",No,,
V436,"Car occupant injured in collision with car, pick-up truck or van: Passenger injured in traffic accident",No,,
V437,"Car occupant injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident",No,,
V439,"Car occupant injured in collision with car, pick-up truck or van: Unspecified car occupant injured in traffic accident",No,,
V440,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,No,,
V441,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,No,,
V442,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,No,,
V443,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in nontraffic accident,No,,
V444,Car occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,No,,
V445,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,No,,
V446,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,No,,
V447,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,No,,
V449,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in traffic accident,No,,
V450,Car occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,No,,
V451,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,No,,
V452,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V453,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in nontraffic accident,No,,
V454,Car occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,No,,
V455,Car occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident,No,,
V456,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,No,,
V457,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,No,,
V459,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in traffic accident,No,,
V460,Car occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,No,,
V461,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,No,,
V462,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V463,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in nontraffic accident,No,,
V464,Car occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,No,,
V465,Car occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident,No,,
V466,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,No,,
V467,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,No,,
V469,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in traffic accident,No,,
V470,Car occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident,No,,
V471,Car occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,No,,
V472,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,No,,
V473,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in nontraffic accident,No,,
V474,Car occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting,No,,
V475,Car occupant injured in collision with fixed or stationary object: Driver injured in traffic accident,No,,
V476,Car occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident,No,,
V477,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,No,,
V479,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in traffic accident,No,,
V480,Car occupant injured in noncollision transport accident: Driver injured in nontraffic accident,No,,
V481,Car occupant injured in noncollision transport accident: Passenger injured in nontraffic accident,No,,
V482,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,No,,
V483,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in nontraffic accident,No,,
V484,Car occupant injured in noncollision transport accident: Person injured while boarding or alighting,No,,
V485,Car occupant injured in noncollision transport accident: Driver injured in traffic accident,No,,
V486,Car occupant injured in noncollision transport accident: Passenger injured in traffic accident,No,,
V487,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,No,,
V489,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in traffic accident,No,,
V490,Car occupant injured in other and unspecified transport accidents: Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V491,Car occupant injured in other and unspecified transport accidents: Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V492,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V493,Car occupant [any] injured in unspecified nontraffic accident,No,,
V494,Car occupant injured in other and unspecified transport accidents: Driver injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V495,Car occupant injured in other and unspecified transport accidents: Passenger injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V496,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V498,Car occupant [any] injured in other specified transport accidents,No,,
V499,Car occupant [any] injured in unspecified traffic accident,No,,
V500,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in nontraffic accident,No,,
V501,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,No,,
V502,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,No,,
V503,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V504,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person injured while boarding or alighting,No,,
V505,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in traffic accident,No,,
V506,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in traffic accident,No,,
V507,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,No,,
V509,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V510,Occupant of pick-up truck or van injured in collision with pedal cycle: Driver injured in nontraffic accident,No,,
V511,Occupant of pick-up truck or van injured in collision with pedal cycle: Passenger injured in nontraffic accident,No,,
V512,Occupant of pick-up truck or van injured in collision with pedal cycle: Person on outside of vehicle injured in nontraffic accident,No,,
V513,Occupant of pick-up truck or van injured in collision with pedal cycle: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V514,Occupant of pick-up truck or van injured in collision with pedal cycle: Person injured while boarding or alighting,No,,
V515,Occupant of pick-up truck or van injured in collision with pedal cycle: Driver injured in traffic accident,No,,
V516,Occupant of pick-up truck or van injured in collision with pedal cycle: Passenger injured in traffic accident,No,,
V517,Occupant of pick-up truck or van injured in collision with pedal cycle: Person on outside of vehicle injured in traffic accident,No,,
V519,Occupant of pick-up truck or van injured in collision with pedal cycle: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V520,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Driver injured in nontraffic accident,No,,
V521,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Passenger injured in nontraffic accident,No,,
V522,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V523,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V524,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Person injured while boarding or alighting,No,,
V525,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Driver injured in traffic accident,No,,
V526,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Passenger injured in traffic accident,No,,
V527,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in traffic accident,No,,
V529,Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V530,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Driver injured in nontraffic accident",No,,
V531,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Passenger injured in nontraffic accident",No,,
V532,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in nontraffic accident",No,,
V533,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Unspecified occupant of pick-up truck or van injured in nontraffic accident",No,,
V534,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Person injured while boarding or alighting",No,,
V535,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Driver injured in traffic accident",No,,
V536,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Passenger injured in traffic accident",No,,
V537,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident",No,,
V539,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van: Unspecified occupant of pick-up truck or van injured in traffic accident",No,,
V540,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,No,,
V541,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,No,,
V542,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,No,,
V543,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V544,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,No,,
V545,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,No,,
V546,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,No,,
V547,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,No,,
V549,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V550,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,No,,
V551,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,No,,
V552,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V553,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V554,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,No,,
V555,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Driver injured in traffic accident,No,,
V556,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,No,,
V557,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,No,,
V559,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V560,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,No,,
V561,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,No,,
V562,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V563,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V564,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,No,,
V565,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Driver injured in traffic accident,No,,
V566,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,No,,
V567,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,No,,
V569,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V570,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Driver injured in nontraffic accident,No,,
V571,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,No,,
V572,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,No,,
V573,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V574,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Person injured while boarding or alighting,No,,
V575,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Driver injured in traffic accident,No,,
V576,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Passenger injured in traffic accident,No,,
V577,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,No,,
V579,Occupant of pick-up truck or van injured in collision with fixed or stationary object: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V580,Occupant of pick-up truck or van injured in noncollision transport accident: Driver injured in nontraffic accident,No,,
V581,Occupant of pick-up truck or van injured in noncollision transport accident: Passenger injured in nontraffic accident,No,,
V582,Occupant of pick-up truck or van injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,No,,
V583,Occupant of pick-up truck or van injured in noncollision transport accident: Unspecified occupant of pick-up truck or van injured in nontraffic accident,No,,
V584,Occupant of pick-up truck or van injured in noncollision transport accident: Person injured while boarding or alighting,No,,
V585,Occupant of pick-up truck or van injured in noncollision transport accident: Driver injured in traffic accident,No,,
V586,Occupant of pick-up truck or van injured in noncollision transport accident: Passenger injured in traffic accident,No,,
V587,Occupant of pick-up truck or van injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,No,,
V589,Occupant of pick-up truck or van injured in noncollision transport accident: Unspecified occupant of pick-up truck or van injured in traffic accident,No,,
V590,Occupant of pick-up truck or van injured in other and unspecified transport accidents: Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V591,Occupant of pick-up truck or van injured in other and unspecified transport accidents: Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V592,Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident,No,,
V593,Occupant [any] of pick-up truck or van injured in unspecified nontraffic accident,No,,
V594,Occupant of pick-up truck or van injured in other and unspecified transport accidents: Driver injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V595,Occupant of pick-up truck or van injured in other and unspecified transport accidents: Passenger injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V596,Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident,No,,
V598,Occupant [any] of pick-up truck or van injured in other specified transport accidents,No,,
V599,Occupant [any] of pick-up truck or van injured in unspecified traffic accident,No,,
V600,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Driver injured in nontraffic accident,No,,
V601,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,No,,
V602,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,No,,
V603,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Unspecified occupant of heavy transport vehicle injured in nontraffic accident,No,,
V604,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Person injured while boarding or alighting,No,,
V605,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Driver injured in traffic accident,No,,
V606,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Passenger injured in traffic accident,No,,
V607,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,No,,
V609,Occupant of heavy transport vehicle injured in collision with pedestrian or animal: Unspecified occupant of heavy transport vehicle injured in traffic accident,No,,
V610,Occupant of heavy transport vehicle injured in collision with pedal cycle: Driver injured in nontraffic accident,No,,
V611,Occupant of heavy transport vehicle injured in collision with pedal cycle: Passenger injured in nontraffic accident,No,,
V612,Occupant of heavy transport vehicle injured in collision with pedal cycle: Person on outside of vehicle injured in nontraffic accident,No,,
V613,Occupant of heavy transport vehicle injured in collision with pedal cycle: Unspecified occupant of heavy transport vehicle injured in nontraffic accident,No,,
V614,Occupant of heavy transport vehicle injured in collision with pedal cycle: Person injured while boarding or alighting,No,,
V615,Occupant of heavy transport vehicle injured in collision with pedal cycle: Driver injured in traffic accident,No,,
V616,Occupant of heavy transport vehicle injured in collision with pedal cycle: Passenger injured in traffic accident,No,,
V617,Occupant of heavy transport vehicle injured in collision with pedal cycle: Person on outside of vehicle injured in traffic accident,No,,
V619,Occupant of heavy transport vehicle injured in collision with pedal cycle: Unspecified occupant of heavy transport vehicle injured in traffic accident,No,,
V620,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Driver injured in nontraffic accident,No,,
V621,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Passenger injured in nontraffic accident,No,,
V622,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V623,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Unspecified occupant of heavy transport vehicle injured in nontraffic accident,No,,
V624,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Person injured while boarding or alighting,No,,
V625,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Driver injured in traffic accident,No,,
V626,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Passenger injured in traffic accident,No,,
V627,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Person on outside of vehicle injured in traffic accident,No,,
V629,Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle: Unspecified occupant of heavy transport vehicle injured in traffic accident,No,,
V630,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Driver injured in nontraffic accident",No,,
V631,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Passenger injured in nontraffic accident",No,,
V632,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in nontraffic accident",No,,
V633,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Unspecified occupant of heavy transport vehicle injured in nontraffic accident",No,,
V634,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Person injured while boarding or alighting",No,,
V635,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Driver injured in traffic accident",No,,
V636,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Passenger injured in traffic accident",No,,
V637,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Person on outside of vehicle injured in traffic accident",No,,
V639,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van: Unspecified occupant of heavy transport vehicle injured in traffic accident",No,,
V640,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Driver injured in nontraffic accident,No,,
V641,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Passenger injured in nontraffic accident,No,,
V642,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in nontraffic accident,No,,
V643,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Unspecified occupant of heavy transport vehicle injured in nontraffic accident,No,,
V644,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,No,,
V645,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,No,,
V646,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,No,,
V647,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,No,,
V649,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus: Unspecified occupant of heavy transport vehicle injured in traffic accident,No,,
V650,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,No,,
V651,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,No,,
V652,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V653,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Unspecified occupant of heavy transport vehicle injured in nontraffic accident,No,,
V654,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,No,,
V655,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Driver injured in traffic accident,No,,
V656,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,No,,
V657,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,No,,
V659,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle: Unspecified occupant of heavy transport vehicle injured in traffic accident,No,,
V660,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,No,,
V661,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,No,,
V662,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,No,,
V663,Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle: Unspecified occupant of heavy transport vehicle injured in nontraffic accident,No,,
